season,pfr_player_name,round,pick,position,age,height_inches,weight,forty,vertical,broad_jump,shuttle,bench,cone,college,pfr_player_id,cfb_player_id
2007,C.J. Ah You,7,239,DE,25,76,265,4.7,36.5,108,4.4,26,7.06,Oklahoma,AhYoC.00,cj-ah-you-1
2003,Sam Aiken,4,127,WR,22,74,204,4.59,39.5,121,4.253783389811145,16.651862805749897,7.22,North Carolina,AikeSa00,sam-aiken-1
2008,Erik Ainge,5,162,QB,22,77,225,4.98,21.5,108,4.6,18.606148643709762,7.51,Tennessee,AingEr00,erik-ainge-1
2020,Brandon Aiyuk,1,25,WR,22,72,205,4.5,40,128,4.19495628658994,11,7.014554135227089,Arizona St.,AiyuBr00,brandon-aiyuk-1
2015,Jay Ajayi,5,149,RB,22,72,216,4.57,39,121,4.1,19,7.1,Boise St.,AjayJa00,jay-ajayi-1
2001,Hakim Akbar,5,163,LB,21,72,222,4.55,34.02657340282184,116.79026147572065,4.22763801060172,18.326964952572638,7.0573875300024795,Washington,AkbaHa20,hakim-akbar-1
2020,Cam Akers,2,52,RB,21,70,217,4.47,35.5,122,4.42,20,7.309501434051912,Florida St.,AkerCa00,cam-akers-1
2018,Jordan Akins,3,98,TE,26,75,249,4.786781963670432,32.758361399511536,114.51841017738607,4.382406866354611,20.839618172806752,7.260231036514238,Central Florida,AkinJo00,jordan-akins-1
2005,Anthony Alabi,5,162,T,24,77,315,5.12,32.5,105,4.6,18,7.62,TCU,AlabAn20,NA
2007,Ikaika Alama-Francis,2,58,DE,22,77,280,4.85,31.170589037520703,111.67410442043602,4.423728354672404,23.72451631455703,7.314387898654827,Hawaii,AlamIk99,ikaika-alama-francis-1
2008,Branden Albert,1,15,G,23,79,315,5.17,26,111,4.78,23,7.97,Virginia,AlbeBr20,branden-albert-1
2012,Frank Alexander,4,103,DE,22,76,260,4.8,32.2214244199798,113.55655129977808,4.3910466306606235,21.863291706976202,7.271554503879436,Oklahoma,AlexFr00,frank-alexander-1
2007,Gerald Alexander,2,61,DB,23,72,210,4.51,41,124,4.21,15,7.24,Boise St.,AlexGe99,gerald-alexander-1
2018,Jaire Alexander,1,18,CB,21,71,192,4.38,35,127,3.98,14,6.71,Louisville,AlexJa00,jaire-alexander-1
2015,Kwon Alexander,4,124,OLB,21,74,227,4.55,36,121,4.2,24,7.14,LSU,AlexKw00,kwon-alexander-1
2014,Maurice Alexander,4,110,DB,23,73,220,4.5,38,123,4.51,18.140842491814556,7.05,Utah St.,AlexMa00,maurice-alexander-1
2016,Mackensie Alexander,2,54,CB,22,70,190,4.43,35.671445587360154,119.73685478841891,4.149201872973446,11,6.95458738254154,Clemson,AlexMa01,mackensie-alexander-1
2007,Rufus Alexander,6,176,LB,24,73,228,4.79,35,117,4.3,25,7.06,Oklahoma,AlexRu20,rufus-alexander-1
2000,Shaun Alexander,1,19,RB,23,71,225,4.58,33.76411286668879,116.3200945728534,4.2472470450087885,18.606148643709762,7.0830875668677145,Alabama,AlexSh00,shaun-alexander-1
2016,Vadal Alexander,7,234,G,22,77,336,5.57,24,95,4.9,25,8.04,LSU,AlexVa00,vadal-alexander-1
2000,Darnell Alford,6,188,G,23,76,328,5.56,25,94,4.98,23,8.48,Boston Col.,AlfoDa20,NA
2007,Jay Alford,3,81,DT,24,74,280,5.17,25.5,103,4.83,23.72451631455703,7.81,Penn St.,AlfoJa99,jay-alford-1
2015,Mario Alford,7,238,WR,23,68,177,4.43,34,121,4.07,13,6.64,West Virginia,AlfoMa00,mario-alford-1
2013,Robert Alford,2,60,DB,24,70,188,4.39,40,132,4.23,17,6.89,Southeastern Louisiana,AlfoRo00,NA
2011,Anthony Allen,7,225,RB,23,72,223,4.56,41.5,120,4.06,24,6.79,Georgia Tech,AlleAn01,anthony-allen-1
2012,Antonio Allen,7,242,DB,23,73,210,4.58,34,118,4.25,17,7.02,South Carolina,AlleAn02,antonio-allen-1
2007,Andy Alleman,3,88,G,23,76,310,5.07,30,106,4.65,27,7.8,Akron,AlleAn20,NA
2009,Asher Allen,3,86,DB,21,70,190,4.48,35,115,4.3,22,6.93,Georgia,AlleAs99,asher-allen-1
2016,Brandon Allen,6,201,QB,24,73,217,4.84,28,110,4.33,17.861658800677432,7.06,Arkansas,AlleBr00,brandon-allen-2
2017,Brian Allen,5,173,DB,23,75,215,4.48,34.5,117,4.34,15,6.64,Utah,AlleBr01,brian-allen-6
2018,Brian Allen,4,111,C,22,73,298,5.34,26.5,99,4.71,27,7.81,Michigan St.,AlleBr02,brian-allen-8
2002,Brian Allen,6,204,RB,22,69,205,4.46,33,112,4.08,19,6.9,Stanford,AlleBr20,brian-allen-2
2001,Brian Allen,3,83,LB,23,72,232,4.65,33.45557517734699,115.76738591823833,4.293001458625282,25,7.143054319553261,Florida St.,AlleBr21,brian-allen-1
2011,Cortez Allen,4,128,DB,22,73,196,4.5,35.5,129,4.01,18,6.76,The Citadel,AlleCo00,NA
2019,Dakota Allen,7,251,LB,23,73,232,4.77,31.5,116,4.04,23,6.88,Texas Tech,AlleDa01,dakota-allen-1
2012,Dwayne Allen,3,64,TE,22,75,255,4.85,32,110,4.37,27,7.12,Clemson,AlleDw00,dwayne-allen-1
2015,Javorius Allen,4,125,RB,24,73,220,4.53,35.5,121,4.28,11,6.96,USC,AlleJa01,javorius-allen-1
2002,James Allen,3,82,LB,22,74,240,4.62,38,126,4.21,24,7.59,Oregon St.,AlleJa21,NA
2004,Jared Allen,4,126,DE,22,78,265,4.72,33,120,4.34,13,7.11,Idaho St.,AlleJa22,NA
2006,Jason Allen,1,16,DB,23,74,200,4.39,39.5,131,3.81,17,6.75,Tennessee,AlleJa23,jason-allen-2
2012,Jeff Allen,2,44,T,22,76,306,5.17,27.5,102,4.9,26,8.01,Illinois,AlleJe01,jeff-allen-2
2017,Jonathan Allen,1,17,DE,22,75,286,5,30,108,4.5,21,7.49,Alabama,AlleJo01,jonathan-allen-1
2018,Josh Allen,1,7,QB,22,77,237,4.75,33.5,119,4.4,19.722883408258255,6.9,Wyoming,AlleJo02,josh-allen-7
2019,Josh Allen,1,7,LB,22,77,262,4.63,34.16583530572196,118,4.23,28,7.15,Kentucky,AlleJo03,josh-allen-6
2013,Keenan Allen,3,76,WR,21,74,206,4.58,35.12249270056278,118.7534708389374,4.2472470450087885,16.837985266507978,7.0830875668677145,California,AlleKe00,keenan-allen-1
2018,Marcus Allen,5,148,S,22,74,202,4.722934581722588,37,127,4.32,15,7.178439208693327,Penn St.,AlleMa03,marcus-allen-5
2010,Nate Allen,2,37,DB,22,73,205,4.5,35.088431454619666,118.69245415906309,4.19495628658994,16,7.014554135227089,South Florida,AlleNa99,nate-allen-1
2014,Ricardo Allen,5,147,DB,22,69,187,4.61,35.5,117,4.15,13,6.955633425583731,Purdue,AlleRi00,ricardo-allen-1
2001,Will Allen,1,22,DB,23,70,196,4.44,39.5,121,3.9,14,6.78,Syracuse,AlleWi20,will-allen-2
2004,Will Allen,4,111,DB,22,73,202,4.58,35.25973092226212,118.99931682630779,4.2472470450087885,16.46574034499181,7.0830875668677145,Ohio St.,AlleWi21,will-allen-1
2019,Zach Allen,3,65,DE,22,76,281,5,32,112,4.36,24,7.34,Boston Col.,AlleZa01,zach-allen-5
2022,Tyler Allgeier,5,151,RB,22,71,224,4.6,33,120,4.260319734613501,18.51308741333072,7.1002209247778705,BYU,AllgTy00,tyler-allgeier-1
2007,Aundrae Allison,5,146,WR,21,72,198,4.39,37,127,4.123056493764022,16.093495423475648,6.920320666721226,East Carolina,AlliAu00,aundrae-allison-1
2013,Kiko Alonso,2,46,LB,23,75,238,4.74,33.386459447533866,115.64357329061659,4.351828561846487,19.815944638637298,7.220154430148966,Oregon,AlonKi00,kiko-alonso-1
2006,Jon Alston,3,77,LB,23,72,220,4.5,40,132,4.13,30,6.9,Stanford,AlstJo20,jon-alston-1
2010,Tyson Alualu,1,10,DT,23,75,295,4.87,35.5,116,4.43,21,7.15,California,AluaTy99,tyson-alualu-1
2019,Ugo Amadi,4,132,S,22,69,199,4.51,32.5,115,4.19,18,7.21,Oregon,AmadUg00,ugo-amadi-1
2014,Jace Amaro,2,49,TE,22,77,265,4.74,33,118,4.3,28,7.42,Texas Tech,AmarJa00,jace-amaro-1
2013,David Amerson,2,51,DB,21,73,205,4.44,35.5,127,4.155738217775803,15,6.963154061496619,North Carolina St.,AmerDa00,david-amerson-1
2015,Adrian Amos,5,142,S,22,73,214,4.56,35.5,122,4.03,17.582475109540308,7.09,Penn St.,AmosAd00,adrian-amos-1
2011,Prince Amukamara,1,19,DB,22,72,201,4.38,38,128,4.08,15,6.97,Nebraska,AmukPr00,prince-amukamara-1
2020,Bradlee Anae,5,179,DE,21,75,257,4.93,31,115,4.43,25,7.44,Utah,AnaeBr00,bradlee-anae-1
2020,Tremayne Anchrum,7,250,G,22,74,314,5.21,24.5,104,4.659036767557226,26,7.622788341037644,Clemson,AnchTr00,tremayne-anchrum-1
2004,Courtney Anderson,7,245,TE,23,79,270,4.89,30,106,4.45,17,7.86,San Jose St.,AndeCo00,courtney-anderson-1
2006,David Anderson,7,251,WR,23,70,195,4.57,34,116,4.2,15.814311732338524,6.88,Colorado St.,AndeDa01,david-anderson-1
2005,Derek Anderson,6,213,QB,22,78,229,5.03,29,103,4.62,18.978393565225925,7.67,Oregon St.,AndeDe00,derek-anderson-1
2007,Deon Anderson,6,195,FB,24,70,248,4.73,33,114,4.43,23,7.27,Connecticut,AndeDe01,deon-anderson-1
2015,Henry Anderson,3,93,DE,24,78,287,4.97,30,111,4.19,24.375944927210316,7.2,Stanford,AndeHe00,henry-anderson-1
2021,Jack Anderson,7,236,OL,22,76,314,5.28,29.5,105,4.83,27,7.9,Texas Tech,AndeJa01,jack-anderson-3
2006,James Anderson,3,88,LB,22,75,220,4.59,41,121,4.07,18.140842491814556,6.67,Virginia Tech,AndeJa21,james-anderson-1
2007,Jamaal Anderson,1,8,DE,21,77,288,4.75,30.713790457140828,110.8558039744502,4.358364906648843,24.46900615758936,7.228721109104043,Arkansas,AndeJa98,jamaal-anderson-1
2012,Justin Anderson,7,208,OL,24,76,335,5.24,27,101,4.99,32,8.04,Georgia,AndeJu00,NA
2006,Mark Anderson,5,159,DE,23,76,255,4.62,42,127,4.22,20,6.95,Alabama,AndeMa21,mark-anderson-1
2002,Marques Anderson,3,92,DB,23,71,212,4.5,39.5,127,4.19495628658994,18,7.014554135227089,UCLA,AndeMa22,marques-anderson-1
2000,Rashard Anderson,1,23,DB,23,74,204,4.55,34,123,4.15,16.651862805749897,7.18,Jackson St.,AndeRa21,NA
2015,Rory Anderson,7,254,TE,22,77,244,4.73,33.22618264923015,115.35645642737231,4.345292217044131,20.374312020911546,7.211587751193887,South Carolina,AndeRo01,rory-anderson-1
2019,Rodney Anderson,6,211,RB,22,72,224,4.650948148216736,33.91237375772687,116.58568636422419,4.293621200992114,25,7.143866567690722,Oklahoma,AndeRo02,rodney-anderson-1
2017,Ryan Anderson,2,49,OLB,23,74,253,4.78,32.438801040831,113.94595571877059,4.377973941055911,21.211863094322915,7.254421145969278,Alabama,AndeRy00,ryan-anderson-1
2001,Scotty Anderson,5,148,WR,21,74,191,4.57,34.5,115,4.240710700206432,15.44206681082236,7.074520887912636,Grambling St.,AndeSc00,NA
2004,Tim Anderson,3,74,DT,23,76,308,5.01,29.48063293770054,108.64674862386305,4.5283098715101024,26.33023076517018,7.451454761936079,Ohio St.,AndeTi20,tim-anderson-1
2022,Tycen Anderson,5,166,SAF,23,74,209,4.36,35.5,123,4.28,17.117168957645102,6.64,Toledo,AndeTy00,tycen-anderson-1
2018,Mark Andrews,3,86,TE,23,77,256,4.67,31,113,4.38,17,7.34,Oklahoma,AndrMa00,mark-andrews-1
2004,Shawn Andrews,1,16,G,21,76,340,5.49,25,98,4.85,27,8.25,Arkansas,AndrSh55,shawn-andrews-1
2004,Stacy Andrews,4,123,T,23,79,342,5.07,30.5,106,4.78,34,8.09,Mississippi,AndrSt21,NA
2006,Willie Andrews,7,229,DB,22,69,182,4.43,36.5,124,4.27,7,6.99,Baylor,AndrWi20,willie-andrews-1
2002,Mark Anelli,6,201,TE,23,75,265,4.8,31.844764238751782,112.88180928541439,4.3910466306606235,18,7.271554503879436,Wisconsin,AnelMa20,mark-anelli-1
2012,Bryan Anger,3,70,P,23,75,208,4.86,35.0994541239584,118.71219996306348,4.430264699474761,17.02410772726606,7.322954577609906,California,AngeBr00,bryan-anger-1
2010,Pat Angerer,2,63,LB,23,72,232,4.71,35,110,4.29,26,7.04,Iowa,AngePa99,pat-angerer-1
2013,Ezekiel Ansah,1,5,DE,24,77,271,4.56,34.5,118,4.26,21,7.11,BYU,AnsaEz00,ezekiel-ansah-1
2013,Marc Anthony,7,247,DB,23,71,196,4.63,35,118,4.07,12,6.74,California,AnthMa00,marc-anthony-1
2015,Stephone Anthony,1,31,ILB,23,74,245,4.56,37,122,4.03,23,7.07,Clemson,AnthSt00,stephone-anthony-1
2017,Alex Anzalone,3,76,LB,22,75,241,4.63,30.5,116,4.25,16,6.88,Florida,AnzaAl00,alex-anzalone-1
2018,Troy Apke,4,109,S,23,74,198,4.34,41,131,4.03,16,6.56,Penn St.,ApkeTr00,tony-apke-1
2016,Eli Apple,1,10,CB,21,73,199,4.4,35.43103038990458,119.30617949355248,4.129592838566378,13,6.928887345676305,Ohio St.,ApplEl00,eli-apple-1
2022,Matt Araiza,6,180,P,22,73,200,4.68,32,121,4.3126104930323494,16.27961788423373,7.168754356418496,San Diego St.,AraiMa00,matt-araiza-1
2019,JJ Arcega-Whiteside,2,57,WR,22,74,225,4.656381500834884,34.03759607216057,116.81000727972103,4.2971726276066144,18.606148643709762,7.148521146443663,Stanford,ArceJJ00,jj-arcega-whiteside-1
2001,Adam Archuleta,1,20,DB,23,72,223,4.46,33.969473580274354,116.68797391997242,4.168810907380514,31,6.980287419406775,Arizona St.,ArchAd20,adam-archuleta-1
2014,Dri Archer,3,97,WR,23,68,173,4.26,38,122,4.06,20,6.86,Kent St.,ArchDr00,dri-archer-1
2010,Javier Arenas,2,50,DB,22,69,195,4.6,31.951554113812,112,4.260319734613501,15.814311732338524,7.1002209247778705,Alabama,ArenJa99,javier-arenas-1
2011,David Arkin,4,110,G,23,77,300,5.31,29,103,4.63,25,7.6,Missouri State,ArkiDa00,NA
2022,Jalyn Armour-Davis,4,119,DB,23,73,197,4.39,34.5,117.63834904046368,4.123056493764022,14,6.920320666721226,Alabama,ArmoJa00,jalyn-armour-davis-1
2015,Arik Armstead,1,17,DT,21,79,296,5.06,34,117,4.53,24,7.57,Oregon,ArmsAr01,arik-armstead-1
2018,Dorance Armstrong Jr.,4,116,DE,21,76,257,4.87,30,118,4.23,20,7.12,Kansas,ArmsDo00,dorance-armstrong-jr-1
2019,Ryquell Armstead,5,140,RB,22,71,220,4.45,30,114,4.29,22,7.02,Temple,ArmsRy00,ryquell-armstead-1
2013,Terron Armstead,3,75,T,22,77,306,4.71,34.5,112,4.72,31,7.62,Ark-Pine Bluff,ArmsTe00,NA
2020,Damon Arnette,1,19,CB,24,72,195,4.56,35.56826861160392,119.55202548092285,4.234174355404076,15.814311732338524,7.065954208957557,Ohio St.,ArneDa00,damon-arnette-1
2009,Stanley Arnoux,4,118,LB,22,73,240,4.56,31.5,121,4.39,19,7.22,Wake Forest,ArnoSt99,stanley-arnoux-1
2006,Devin Aromashodu,7,233,WR,22,74,202,4.35,39,120,4.16,16.46574034499181,7.04,Auburn,AromDe00,devin-aromashodu-1
2008,Adrian Arrington,7,237,WR,22,74,185,4.55,36.32158897405996,120.90150950965025,4.22763801060172,14.883699428548113,7.0573875300024795,Michigan,ArriAd00,adrian-arrington-1
2005,J.J. Arrington,2,44,RB,22,69,214,4.4,35,121,4.1,18,6.81,California,ArriJ.00,jj-arrington-1
2000,LaVar Arrington,1,2,LB,22,75,253,4.53,32.5299621093216,114.10925995439315,4.214565320997008,21.211863094322915,7.0402541720923235,Penn St.,ArriLa00,lavar-arrington-1
2015,Cameron Artis-Payne,5,174,RB,25,70,212,4.53,36.5,118,4.214565320997008,17.396352648782226,7.13,Auburn,ArtiCa00,cameron-artis-payne-1
2018,Ade Aruna,6,218,DE,24,78,262,4.6,38.5,128,4.48,18,7.53,Tulane,ArunAd00,ade-aruna-1
2022,Brian Asamoah,3,66,LB,22,72,226,4.56,36.5,124,4.234174355404076,18.6992098740888,7.065954208957557,Oklahoma,AsamBr00,brian-asamoah-ll-1
2010,Jon Asamoah,3,68,G,22,76,304,5.07,29.709032227890482,109.05589884685597,4.56752794032424,25.95798584365402,7.5028548356665485,Illinois,AsamJo20,NA
2010,Larry Asante,5,160,DB,22,72,211,4.62,37.5,118,4.17,14,7,Nebraska,AsanLa99,larry-asante-1
2020,Devin Asiasi,3,91,TE,23,75,257,4.73,30.5,115,4.345292217044131,16,7.211587751193887,UCLA,AsiaDe00,devin-asiasi-1
2017,Isaac Asiata,5,164,G,24,75,323,5.34,25.5,102,4.93,35,7.83,Utah,AsiaIs00,isaac-asiata-1
2003,B.J. Askew,3,85,FB,23,75,233,4.6,33.67195856027129,116.15501106935776,4.260319734613501,19.350638486742092,7.1002209247778705,Michigan,AskeB.00,bj-askew-1
2004,Matthias Askew,4,114,DT,22,78,315,5.2,27,101,4.42,20,7.55,Michigan St.,AskeMa20,matthias-askew-1
2003,Nnamdi Asomugha,1,31,DB,22,75,215,4.45,37.5,124,4.162274562578158,16,6.971720740451696,California,AsomNn20,nnamdi-asomugha-1
2012,Mark Asper,6,178,G,26,78,319,5.32,29.0348570266594,107.84819398187761,4.730936560383143,23,7.717021809543505,Oregon,AspeMa00,mark-asper-1
2018,Marcell Ateman,7,228,WR,23,76,216,4.62,34,121,4.25,13,7.07,Oklahoma St.,AtemMa00,marcell-ateman-1
2007,Baraka Atkins,4,120,DE,22,77,280,4.69,33,111,4.319146837834706,22,7.177321035373575,Miami (FL),AtkiBa99,baraka-atkins-1
2010,Geno Atkins,4,120,DT,22,73,286,4.75,33,117,4.43,34,7.33,Georgia,AtkiGe99,geno-atkins-1
2005,O.J. Atogwe,3,66,DB,24,71,203,4.52,35.02030896273345,118.57042079931446,4.208028976194651,22,7.031687493137243,Stanford,AtogO.20,oshiomogho-atogwe-1
2014,Jeremiah Attaochu,2,50,LB,21,75,252,4.803082021524875,32.58706193186908,114.21154751014137,4.393061146198111,21.118801863943876,7.274194772773061,Georgia Tech,AttaJe00,jeremiah-attaochu-1
2021,Tutu Atwell,2,57,WR,21,68,155,4.42,33,117,4.14,12.091862517176876,6.89,Louisville,AtweTu00,chatarius-atwell-1
2019,Blessuan Austin,6,196,CB,23,73,198,4.509680980144893,35.48813021245206,119.40846704930071,4.201284109015117,15,7.022847520114265,Rutgers,AustBl00,blessuan-austin-1
2022,Calvin Austin,4,138,WR,23,68,170,4.32,39,135,4.07,13.487780972862494,6.65,Memphis,AustCa00,calvin-austin-iii-1
2011,Marvin Austin,2,52,DT,22,74,310,4.84,30.5,112,4.4,38,7.33,North Carolina,AustMa00,marvin-austin-1
2000,Reggie Austin,4,125,DB,23,69,185,4.44,35,119,4.14,17,7.03,Wake Forest,AustRe20,NA
2013,Tavon Austin,1,8,WR,23,69,174,4.34,32,120,4.01,14,6.772146310081709,West Virginia,AustTa00,tavon-austin-1
2006,Jason Avant,4,109,WR,23,72,210,4.62,37,118,4.273392424218213,20,7.1173542826880265,Michigan,AvanJa00,jason-avant-1
2018,Anthony Averett,4,118,CB,23,72,185,4.36,31.5,119,4.4,13,6.93,Alabama,AverAn00,anthony-averett-1
2008,Donnie Avery,2,33,WR,24,71,186,4.43,35.99100594604069,120.30930924703438,4.149201872973446,16,6.95458738254154,Houston,AverDo00,donnie-avery-1
2018,Genard Avery,5,150,LB,23,73,248,4.59,36,124,4.36,26,6.9,Memphis,AverGe00,genard-avery-1
2008,Cliff Avril,3,92,LB,22,75,252,4.51,32.5,117,4.51,27,6.9,Purdue,AvriCl99,cliff-avril-1
2017,Chidobe Awuzie,2,60,CB,22,72,202,4.43,34.5,132,4.14,16,6.81,Colorado,AwuzCh00,chidobe-awuzie-1
2011,Akeem Ayers,2,39,LB,22,75,255,4.81,31,116,4.28,18,7.49,UCLA,AyerAk00,akeem-ayers-1
2016,Demarcus Ayers,7,229,WR,22,70,190,4.72,33,123,4.338755872241775,15.349005580443318,7.20302107223881,Houston,AyerDe00,demarcus-ayers-1
2009,Robert Ayers,1,18,DE,24,75,273,4.77,29.5,102,4.51,18,7.56,Tennessee,AyerRo99,robert-ayers-1
2002,Akin Ayodele,3,89,LB,22,74,251,4.81,35,121,4.12,26,7,Purdue,AyodAk20,akin-ayodele-1
2005,David Baas,2,33,G,23,76,319,5.06,29.5,105,4.46,29,7.5,Michigan,BaasDa20,david-baas-1
2001,Bill Baber,5,141,TE,22,75,255,4.76,33,106,4.19,22,7.12,Virginia,BabeBi00,billy-baber-1
2004,Jason Babin,1,27,LB,24,76,265,4.62,34,121,4.14,28,7.03,Western Michigan,BabiJa20,jason-babin-1
2005,Jonathan Babineaux,2,59,DE,23,74,281,4.87,29.5,109,4.57,21,7.7,Iowa,BabiJo20,jonathan-babineaux-1
2013,Jeff Baca,6,196,G,23,76,302,5.03,26.5,100,4.44,25.771863382895937,7.26,UCLA,BacaJe00,NA
2001,Jeff Backus,1,18,T,23,77,305,5.37,27,99,4.67,25,8.27,Michigan,BackJe20,NA
2022,Tyler Badie,6,196,RB,22,68,197,4.45,33.5,121,4.162274562578158,16.000434193096606,6.971720740451696,Missouri,BadiTy00,tyler-badie-1
2011,Allen Bailey,3,86,DE,22,75,278,4.71,36.5,117,4.56,27,7.43,Miami (FL),BailAl00,allen-bailey-1
2003,Boss Bailey,2,34,LB,23,75,233,4.58,42,135,4.2472470450087885,19.350638486742092,7.0830875668677145,Georgia,BailBo20,boss-bailey-1
2019,Jake Bailey,5,163,P,22,73,200,4.72,33,117,4.338755872241775,16.27961788423373,7.20302107223881,Stanford,BailJa00,jake-bailey-1
2020,Markus Bailey,7,215,LB,23,72,235,4.710715027016362,33.28427570970454,115.46052325099365,4.332686893751613,15,7.19506693397307,Purdue,BailMa01,markus-bailey-1
2001,Rodney Bailey,6,181,DE,21,75,306,5.1,29.503671514304916,108.68801949973695,4.587136974731308,26.1441083044121,7.5285548725317835,Ohio St.,BailRo21,NA
2013,Stedman Bailey,3,92,WR,22,70,193,4.52,34.5,117,4.09,11,6.81,West Virginia,BailSt01,stedman-bailey-1
2005,Billy Bajema,7,249,TE,22,77,261,4.74,31.5,113,4.25,16,7.05,Oklahoma St.,BajeBi00,billy-bajema-1
2017,Budda Baker,2,36,S,21,70,195,4.45,32.5,115,4.08,15,6.76,Washington,BakeBu00,budda-baker-1
2002,Chris Baker,3,88,TE,22,75,258,4.81,35,112,4.39758297546298,18,6.95,Michigan St.,BakeCh00,chris-baker-2
2007,Dallas Baker,7,227,WR,24,75,206,4.53,36,129,4.19,16.837985266507978,6.69,Florida,BakeDa01,dallas-baker-1
2019,Deandre Baker,1,30,CB,22,71,193,4.52,34.16583530572196,118,4.208028976194651,14,7.031687493137243,Georgia,BakeDe00,deandre-baker-1
2012,Edwin Baker,7,250,RB,21,68,204,4.44,35,111,4.31,20,7.27,Michigan St.,BakeEd01,edwin-baker-1
